Key,Source,Context,Changes,English,Russian

xuiAccessories,UI,XUI,,Acessórios
gunHandgunT5SMG5ZingerDesc,items,Gun,,"Modelo experimental Zinger.\nDevido à sua taxa de disparo, muitos caçadores chamaram o modelo de uma rápida e confiável máquina de costura. E com razão.\nMuito rápido e leve - um presente ideal para zumbis se você decidir visitá-los."

gunBowT4CompoundBowImp,items,Gun,,Arco composto [DECEA3]Improved[-]
gunBowT4CompoundBowImpDesc,items,Gun,,"Modelo  CWB do arco composto.\nAumento de dano e taxa de disparo. O dano a partir do esconderijo foi aumentado em 50%.\nA arma ideal para eliminações silenciosas."

gunBowT4CompoundCrossbowImp,items,Gun,,Arbalete composto [DECEA3]Improved[-]
gunBowT4CompoundCrossbowImpDesc,items,Gun,,"Modelo  CWB do arbalete composto.\nTaxa de disparo e penetração na armadura do alvo foram significativamente aumentadas. O dano a partir do esconderijo foi aumentado em 50%.\nA arma ideal para eliminações silenciosas."

gunBowT5CompoundCrossbowMantis,items,Gun,,[FFD700] CWB [-] [FFB800]Mantis[-]
gunBowT5CompoundCrossbowMantisDesc,items,Gun,,"Modelo experimental do arbalete Mantis.\nTodos os principais indicadores foram significativamente aumentados. O dano a partir do esconderijo foi aumentado em 50%.\nEliminar rapidamente e silenciosamente um grande número de inimigos adormecidos não será mais um problema para você."

0000 -- HEAVY MELEE WEAPON -- 0000

meleeWpnSledgeT4SteelSledgehammerImp,items,Melee,,Marreta de Aço [DECEA3]Improved[-]
meleeWpnSledgeT4SteelSledgehammerImpDesc,items,Melee,,"Marreta de aço melhorada. A experiência obtida com a eliminação de inimigos foi aumentada em 15%\nTodos os principais indicadores foram significativamente aumentados.\nSe os zumbis ainda estiverem vivos, eles vão se arrepender disso."

meleeWpnClubT4SteelClubImp,items,Melee,,Clava de Aço [DECEA3]Improved[-]
meleeWpnClubT4SteelClubImpDesc,items,Melee,,"Clava de aço melhorada. A experiência obtida com a eliminação de inimigos foi aumentada em 15%\nTodos os principais indicadores foram significativamente aumentados.\n[DECEA3]Zumbi:[-] Doutor, o que há de errado com a minha cabeça?\n[DECEA3]Doutor:[-] Sem problema, você não tem uma."

meleeWpnSpearT4SteelSpearImp,items,Melee,,Lança de Aço [DECEA3]Improved[-]
meleeWpnSpearT4SteelSpearImpDesc,items,Melee,,"Lança de aço melhorada. A experiência obtida com a eliminação de inimigos foi aumentada em 15%\nTodos os principais indicadores foram significativamente aumentados.\nCrie canapés ao seu gosto."

meleeWpnClubT5SteelAxeBarbarian,items,Melee,,[FFD700] CWB [-] [FFB800]Barbarian[-]
meleeWpnClubT5SteelAxeBarbarianDesc,items,Melee,,"Machado Barbarian único. A experiência obtida com a eliminação de inimigos foi aumentada em 30%\nTodos os principais indicadores foram significativamente aumentados.\nUma grande concentração de zumbis só é vantajosa para você. Não se esqueça de levar guardanapos, será uma bagunça. Embora não seja certo que eles ajudem."

0000 -- ARMA BRANCA LEVE -- 0000

meleeWpnBatonT4PlasmaBaton,items,Melee,,Cajado de Choque [DECEA3]Improved[-]
meleeWpnBatonT4PlasmaBatonDesc,items,Melee,,"Cajado de choque  CWB. A experiência obtida com a eliminação de inimigos foi aumentada em 15%\nTodos os principais indicadores foram significativamente aumentados.\nVamos dançar."

meleeWpnKnucklesT4SteelKnucklesImp,items,Melee,,Nokout de Aço [DECEA3]Improved[-]
meleeWpnKnucklesT4SteelKnucklesImpDesc,items,Melee,,"Nokout de aço  CWB. A experiência obtida com a eliminação de inimigos foi aumentada em 15%\nTodos os principais indicadores foram significativamente aumentados.\nAs minhas idas aos bares na vida passada não foram em vão."

meleeWpnBladeT4MacheteImp,items,Melee,,Machete [DECEA3]Improved[-]
meleeWpnBladeT4MacheteImpDesc,items,Melee,,"Machete  CWB. A experiência obtida com a eliminação de inimigos foi aumentada em 15%\nTodos os principais indicadores foram significativamente aumentados.\nLeve sua caça tropical para a cidade."

meleeWpnBladeT5MacheteIndiana,items,Melee,,[FFD700] CWB [-] [FFB800]Indiana[-]
meleeWpnBladeT5MacheteIndianaDesc,items,Melee,,"Machete Indiana único. A experiência obtida com a eliminação de inimigos foi aumentada em 30%\nTodos os principais indicadores foram significativamente aumentados.\nCortar, cortar, cortar..."

0000 -- FERRAMENTAS -- 0000

meleeToolAxeT4ChainsawImp,items,Tool,,[FFD700] CWB [-]Motosserra [DECEA3]Improved[-]
meleeToolAxeT4ChainsawImpDesc,items,Tool,,"Motosserra melhorada.\nAumento de dano em blocos e velocidade. Aumenta o número de mods que podem ser instalados.\nA ferramenta perfeita para colheita de madeira."

meleeToolPickT4AugerImp,items,Tool,,[FFD700] CWB [-]Perfuratriz [DECEA3]Improved[-]
meleeToolPickT4AugerImpDesc,items,Tool,,"Perfuratriz melhorada.\nAumento de dano em blocos e velocidade. Aumenta o número de mods que podem ser instalados.\nAgora é muito mais fácil extrair recursos da mina."

meleeToolSalvageT4ImpactDriverImp,items,Tool,,[FFD700] CWB [-]Parafusadeira [DECEA3]Improved[-]
meleeToolSalvageT4ImpactDriverImpDesc,items,Tool,,"Parafusadeira melhorada. A experiência obtida com a desmontagem foi aumentada em 15%\nAumento de dano em blocos e velocidade de trabalho. Aumenta o número de mods instalados.\nDesmonte todos os carros da área em alguns cliques."

meleeToolRepairT4NailgunImp,items,Tool,,[FFD700] CWB [-]Pistola de Pregos [DECEA3]Improved[-]
meleeToolRepairT4NailgunImpDesc,items,Tool,,"Pistola de pregos melhorada.\nAumento significativo na velocidade de aprimoramento e reparo de blocos.\nConstrua a cidade dos seus sonhos."

meleeToolPickT5AugerReact,items,Tool,,[FFD700] CWB [-]Perfuratriz [FFB800]Reator[-]
meleeToolPickT5AugerReactDesc,items,Tool,,"Modelo experimental de perfuratriz reator.\nTodos os principais indicadores foram significativamente aumentados, e mods avançados podem ser instalados. A extração de recursos foi aumentada em 100%.\nNão consome gasolina durante a operação e não faz barulho, o que reduz significativamente a chance de atrair atenção indesejada durante a extração. Agora a durabilidade da ferramenta é sua carga. Pode ser restaurada em uma estação de carregamento ou usando baterias de reator.\nNão existe ferramenta melhor para extração."

meleeToolSalvageT5ImpactDriverReact,items,Tool,,[FFD700] CWB [-]Parafusadeira [FFB800]Reator[-]
meleeToolSalvageT5ImpactDriverReactDesc,items,Tool,,"Modelo experimental de parafusadeira reator. A experiência obtida com a desmontagem foi aumentada em 30%\nTodos os principais indicadores foram significativamente aumentados, e também é possível extrair recursos raros desmontando veículos.\nNão consome gasolina durante a operação e não faz barulho, o que reduz significativamente a chance de atrair atenção indesejada durante a extração. Agora a durabilidade da ferramenta é sua carga. Pode ser restaurada em uma estação de carregamento ou usando baterias de reator.\nDesmonta tudo o que se move, já se moveu ou não se move de jeito nenhum."


0000 -- MASTER BOOK -- 0000
masterMachineGunsSkillMagazine,items,item,,[FFD700] CWB [-][DECEA3]Revista[-] Mestre de [FFD700] CWB [-]s
masterMachineGunsSkillMagazineDesc,items,item,,"Nas revistas sobre armas de assalto, você pode encontrar pequenos artigos sobre como as pessoas melhoram armas de fábrica de forma independente.\n\nTendo coletado um número suficiente de artigos, você poderá melhorar [FFD700] CWB [-]s ou criar modelos experimentais."

MasterShotgunsSkillMagazine,items,item,,[FFD700] CWB [-][DECEA3]Revista[-] Mestre de espingardas
MasterShotgunsSkillMagazineDesc,items,item,,"Nas revistas sobre espingardas, você pode encontrar pequenos artigos sobre como as pessoas melhoram armas de fábrica de forma independente.\n\nTendo coletado um número suficiente de artigos, você poderá melhorar espingardas ou criar modelos experimentais."

MasterRiflesSkillMagazine,items,item,,[FFD700] CWB [-][DECEA3]Revista[-] Mestre de rifles
MasterRiflesSkillMagazineDesc,items,item,,"Nas revistas sobre o mundo dos rifles, você pode encontrar pequenos artigos sobre como as pessoas melhoram armas de fábrica de forma independente.\n\nTendo coletado um número suficiente de artigos, você poderá melhorar rifles de precisão ou criar modelos experimentais."

MasterHandgunsSkillMagazine,items,item,,[FFD700] CWB [-][DECEA3]Revista[-] Mestre de armas de mão
MasterHandgunsSkillMagazineDesc,items,item,,"Nas revistas sobre armas de mão, você pode encontrar pequenos artigos sobre como as pessoas melhoram modelos de armas de fábrica de forma independente.\n\nTendo coletado um número suficiente de artigos, você poderá melhorar pistolas automáticas ou criar modelos experimentais."

MasterBowsSkillMagazine,items,item,,[FFD700] CWB [-][DECEA3]Revista[-] Mestre de arco e flecha
MasterBowsSkillMagazineDesc,items,item,,"Nas revistas de entusiastas de arco e flecha, você pode encontrar pequenos artigos sobre como as pessoas melhoram suas armas de forma independente.\n\nTendo coletado um número suficiente de artigos, você poderá melhorar seu arco e besta, ou criar modelos experimentais."

MasterWorkstationsMagazine,items,item,,[FFD700] CWB [-][DECEA3]Revista[-] Mestre das Estações de Trabalho
MasterWorkstationsMagazineDesc,items,item,,"Você aprendeu a criar qualquer estação de trabalho. Mas há artigos de especialistas que mostram como melhorá-las.\n\nTendo coletado um número suficiente de artigos, você poderá melhorar suas estações e criar ferramentas úteis para elas."

MasterToolsMagazine,items,item,,"Aprender a criar ferramentas não é tão difícil. Difícil é entender como melhorá-las. Algumas revistas têm artigos sobre como fazer isso.\n\nTendo coletado artigos suficientes, você poderá melhorar suas ferramentas e criar ferramentas experimentais."

MasterElectricianMagazine,items,item,,[FFD700] CWB [-][DECEA3]Revista[-] Mestre Eletricista
MasterElectricianMagazineDesc,items,item,,"Eletricistas profissionais às vezes deixam anotações sobre como criar mecanismos complexos com suas próprias mãos. Também há anotações sobre fontes de energia experimentais.\n\nTendo coletado um número suficiente de artigos, você será capaz de criar dispositivos elétricos complexos e fontes de energia."

MasterHeavyMeleeWeaponMagazine,items,item,,[FFD700] CWB [-][DECEA3]Revista[-] Mestre de Armas de Corpo a Corpo Pesadas
MasterHeavyMeleeWeaponMagazineDesc,items,item,,"Não é fácil criar uma arma forte para combate corpo a corpo, especialmente para tipos pesados. Apenas alguns conhecem os segredos para criar uma arma verdadeiramente poderosa. Você pode encontrar anotações sobre isso em revistas.\n\nTendo coletado um número suficiente de artigos, você poderá melhorar marretas, clavas e lanças, ou criar versões lendárias."

MasterLightMeleeWeaponMagazine,items,item,,[FFD700] CWB [-][DECEA3]Revista[-] Mestre de Armas de Corpo a Corpo Leves
MasterLightMeleeWeaponMagazineDesc,items,item,,"Uma arma para matar zumbis não deve ser apenas leve, mas também conveniente. Como fazer facas e socos ingleses com o máximo de eficiência às vezes é escrito em revistas temáticas. E se você adicionar um pouco de eletricidade... Experimente e o resultado certamente o agradará. Você pode encontrar anotações sobre isso em revistas.\n\nTendo coletado um número suficiente de artigos, você poderá melhorar socos ingleses, facões e bastões elétricos, ou criar versões lendárias."

MasterKitchenMagazine,items,item,,[FFD700] CWB [-][DECEA3]Revista[-] Mestre de Cozinha
MasterKitchenMagazineDesc,items,item,,"Como é difícil quando você precisa comer e beber muitas coisas saborosas para uma tarefa.

0000 -- PROGRESSION -- 0000

attmaster,progression,Attribute,,Habilidades de Mestre
bowsT1,progression,Attribute,,Arcos e Arbaletes  CWBs

MasterMachineGunsName,progression,Attribute,,Mestre de [FFD700] CWB [-]s
MasterMachineGunsDesc,progression,Attribute,,"A habilidade [DECEA3]Pulemeotico lvl.5[-] permite criar revistas [DECEA3]Mestre das [FFD700] CWB [-]s[-]\nLer essas revistas melhora a qualidade das armas que você aprimora."

MasterCraftingShotgunName,progression,Attribute,,Mestre de Espingardas
MasterCraftingShotgunDesc,progression,Attribute,,"A habilidade [DECEA3]Espingardeiro lvl.5[-] permite criar revistas [DECEA3]Mestre das Espingardas[-]\nLer essas revistas melhora a qualidade das armas que você aprimora."

MasterCraftingRifleName,progression,Attribute,,Mestre de Rifles
MasterCraftingRifleDesc,progression,Attribute,,"A habilidade [DECEA3]Olho Morto lvl.5[-] permite criar revistas [DECEA3]Mestre dos Rifles[-]\nLer essas revistas melhora a qualidade das armas que você aprimora."

MasterCraftingHandgunsName,progression,Attribute,,Mestre de Armas de Mão
MasterCraftingHandgunsDesc,progression,Attribute,,"A habilidade [DECEA3]Atirador lvl.5[-] permite criar revistas [DECEA3]Mestre das Armas de Mão[-]\nLer essas revistas melhora a qualidade das armas que você aprimora."

MasterCraftingBowsName,progression,Attribute,,Mestre em Arqueria
MasterCraftingBowsDesc,progression,Attribute,,"A habilidade [DECEA3]Arqueria lvl.5[-] permite criar revistas [DECEA3]Mestre dos Arcos[-]\nLer essas revistas melhora a qualidade das armas que você aprimora."

MasterWorkstationsName,progression,Attribute,,Mestre das Estações de Trabalho
MasterWorkstationsDesc,progression,Attribute,,"A habilidade [DECEA3]Engenharia Avançada lvl.5[-] permite criar revistas [DECEA3]Mestre das Estações[-]\nLer essas revistas desbloqueia novas estações e ferramentas para elas."

MasterToolsName,progression,Attribute,,Mestre das Ferramentas
MasterToolsDesc,progression,Attribute,,"Qualquer uma das habilidades [DECEA3]Minerador 69'er lvl.5[-], [DECEA3]Engenharia Avançada lvl.5[-] ou [DECEA3]Operações de Salvamento lvl.5[-] permite criar revistas [DECEA3]Mestre das Ferramentas[-]\nLer essas revistas melhora a qualidade da ferramenta."

MasterElectricianName,progression,Attribute,,Mestre Eletricista
MasterElectricianDesc,progression,Attribute,,"A habilidade [DECEA3]Engenharia Avançada lvl.5[-] permite criar revistas [DECEA3]Mestre Eletricista[-]\nLer essas revistas permitirá criar novos itens."

MasterVehicleName,progression,Attribute,,Mestre Mecânico
MasterVehicleDesc,progression,Attribute,,"A habilidade [DECEA3]Mecânico lvl.5[-] permite criar revistas [DECEA3]Mestre Mecânico[-]\nLer essas revistas permitirá criar novas modificações para seu veículo."

MasterHeavyMeleeWeaponName,progression,Attribute,,Mestre de Armas de Melee Pesadas
MasterHeavyMeleeWeaponDesc,progression,Attribute,,"Qualquer uma das habilidades [DECEA3]Quebra-Crânios lvl.5[-], [DECEA3]Porrada Pete lvl.5[-] ou [DECEA3]Mestre da Lança lvl.5[-] permite criar revistas [DECEA3]Mestre das Armas de Melee Pesadas[-]\nLer essas revistas melhora a qualidade das armas que você aprimora."

MasterLightMeleeWeaponName,progression,Attribute,,Mestre de Armas de Melee Leves
MasterLightMeleeWeaponDesc,progression,Attribute,,"Qualquer uma das habilidades [DECEA3]O Lutador lvl.5[-], [DECEA3]Cortes Profundos lvl.5[-] ou [DECEA3]Eletrocutador lvl.5[-] permite criar revistas [DECEA3]Mestre das Armas de Melee Leves[-]\nLer essas revistas melhora a qualidade das armas que você aprimora."

MasterKitchenName,progression,Attribute,,Mestre da Cozinha
MasterKitchenDesc,progression,Attribute,,"A habilidade [DECEA3]Chef Mestre lvl.5[-] permite criar revistas [DECEA3]Mestre da Cozinha[-]\nLer essas revistas permitirá criar novos elixires."

MasterArmorName,progression,Attribute,,Mestre da Armadura
MasterArmorDesc,progression,Attribute,,"Qualquer uma das habilidades [DECEA3]Armadura Pesada Lv.4[-] ou [DECEA3]Armadura Média Lv.4[-] permite criar revistas [DECEA3]Mestre da Armadura[-]\nLer essas revistas aumenta a qualidade da armadura que você cria. Também desbloqueia a possibilidade de criar modificações avançadas."

masterToolsT1-1,progression,Attribute,,Módulo de Partes Reforçadas
masterToolsT1-1,progression,Attribute,,Módulo de Núcleo Alongado
masterToolsT1-1,progression,Attribute,,Módulo de Impulsor de Ferramentas de Reator
masterToolsT1-1,progression,Attribute,,Módulo de Mecanismos  CWBs
masterToolsT1-1,progression,Attribute,,Módulo de Mecanismos Rápidos
masterToolsT1-1,progression,Attribute,,Módulo de Caixa de Parafusos Reserva

masterworkstationsT1-1,progression,Attribute,,Nível 1: Fogão de Cozinha
masterworkstationsT1-2,progression,Attribute,,Nível 1: Coletor
masterworkstationsT1-3,progression,Attribute,,Nível 1: Lona
masterworkstationsT1-4,progression,Attribute,,Nível 1: Filtro de Água
masterworkstationsT1-5,progression,Attribute,,Nível 1: [DECEA3]Coletor de Orvalho [DECEA3] CWB[-]

masterworkstationsT2-1,progression,Attribute,,Nível 2: [DECEA3]Banco de Trabalho [DECEA3] CWB[-]
masterworkstationsT2-2,progression,Attribute,,Nível 2: [DECEA3]Peças Pequenas [DECEA3]Melhoradas[-]
masterworkstationsT2-3,progression,Attribute,,Nível 2: [DECEA3]Ferramentas Avançadas [DECEA3]Melhoradas[-]

masterworkstationsT3-1,progression,Attribute,,Nível 3: [DECEA3]Misturador de Cimento [DECEA3] CWB[-]

masterworkstationsT4-1,progression,Attribute,,Nível 4: [DECEA3]Forja [FFD700] CWB [-][DECEA3]Melhorada[-]
masterworkstationsT4-2,progression,Attribute,,Nível 4: [DECEA3]Ventoinhas [DECEA3]Melhoradas[-]
masterworkstationsT4-3,progression,Attribute,,Nível 4: [DECEA3]Bigorna [FFD700] CWB [-][DECEA3]Melhorada[-]

mastertoolsT1,progression,Attribute,,"Nível 1: [DECEA3]Broca [FFD700] CWB [-][DECEA3]Melhorada[-], Motosserra, Chave de Impacto, Pistola de Pregos"
mastertoolsT2,progression,Attribute,,"Nível 1: [FFB800]Broca [FFB800]Reator[-], Chave de Impacto"

MasterElectricianT3-1,progression,Attribute,,Nível 3: [FFB800]Reator[-] Portátil
MasterElectricianT3-2,progression,Attribute,,Nível 3: Estação de Carga [FFB800]Reator[-]

MasterElectricianT4-1,progression,Attribute,,Nível 4: Módulo de Jetpack
MasterElectricianT4-2,progression,Attribute,,Nível 4: Módulo de Bateria Aumentada
MasterElectricianT4-3,progression,Attribute,,Nível 4: Módulo de Eletrônica Avançada
MasterElectricianT4-4,progression,Attribute,,Nível 4: Módulo de Impulsor de Ferramentas de Reator
MasterElectricianT4-5,progression,Attribute,,Nível 4: Módulo de Acelerador de Reator

MasterVehicleT1-1,progression,Attribute,,Nível 1: Módulo de Economia de Combustível para Veículo
MasterVehicleT1-2,progression,Attribute,,Nível 1: Módulo de Tan

MasterArmorT1-1,progression,Attribute,,Nível 1: Kit de Criação de Armaduras [DECEA3] CWB[-]
MasterArmorT1-2,progression,Attribute,,Nível 1: Mod de Bolso Quadruplo para Armadura
MasterArmorT1-3,progression,Attribute,,Nível 1: Mod de Headset para Armadura [DECEA3] CWB[-]

MasterArmorT2-1,progression,Attribute,,Nível 2: Mod LSS-1 [DECEA3]Cabeça[-]
MasterArmorT2-2,progression,Attribute,,Nível 2: Mod LSS-1 [DECEA3]Corpo[-]
MasterArmorT2-3,progression,Attribute,,Nível 2: Mod LSS-1 [DECEA3]Mãos[-]
MasterArmorT2-4,progression,Attribute,,Nível 2: Mod LSS-1 [DECEA3]Pés[-]
MasterArmorT2-5,progression,Attribute,,Nível 2: Mod Defender-Z [DECEA3]Cabeça[-]
MasterArmorT2-6,progression,Attribute,,Nível 2: Mod Defender-Z [DECEA3]Corpo[-]
MasterArmorT2-7,progression,Attribute,,Nível 2: Mod Defender-Z [DECEA3]Mãos[-]
MasterArmorT2-8,progression,Attribute,,Nível 2: Mod Defender-Z [DECEA3]Pés[-]

MasterArmorT3,progression,Attribute,,Nível 3: Armadura [FFD700] CWB [-][FFB800]Resgatador[-]
MasterArmorT4,progression,Attribute,,Nível 4: Armadura [FFD700] CWB [-][FFB800]Predador[-]
MasterArmorT5,progression,Attribute,,Nível 5: Armadura [FFD700] CWB [-][FFB800]Maus[-]

MasterMachineGunsT3-1,progression,Attribute,,Nível 3: Mod de Partes de [FFD700] CWB [-] [DECEA3] CWB[-]
MasterMachineGunsT3-2,progression,Attribute,,Nível 3: Mod de Carregador de Tambor [DECEA3] CWB[-]
MasterMachineGunsT3-3,progression,Attribute,,Nível 3: Mod de Impulsionador de Arma [DECEA3]Experimental[-]

MasterShotgunT3-1,progression,Attribute,,Nível 3: Mod de Partes de Espingarda [DECEA3] CWB[-]
MasterShotgunT3-2,progression,Attribute,,Nível 3: Mod de Empunhadura Frontal [DECEA3] CWB[-]
MasterShotgunT3-3,progression,Attribute,,Nível 3: Mod de Impacto [DECEA3] CWB[-]

MasterHandgunsT3-1,progression,Attribute,,Nível 3: Mod de Partes de Pistola [DECEA3] CWB[-]
MasterHandgunsT3-2,progression,Attribute,,Nível 3: Mod de Extensor de Carregador [DECEA3] CWB[-]
MasterHandgunsT3-3,progression,Attribute,,Nível 3: Mod de Remoção de Radiação [DECEA3] CWB[-]

MasterRifleT3-1,progression,Attribute,,Nível 3: Mod de Partes de Rifle [DECEA3] CWB[-]
MasterRifleT3-2,progression,Attribute,,Nível 3: Mod de Bipé [DECEA3] CWB[-]
MasterRifleT3-3,progression,Attribute,,Nível 3: Mod de Silenciador [DECEA3] CWB[-]
MasterRifleT3-4,progression,Attribute,,Nível 3: Mod de Acumulador de Dano [DECEA3]Experimental[-]



